subject,datestamp,timestamp,version,crt1,crt2,crt3,id
AWCE4HJPALHPH_m3r5,2014-09-09,10:38:12,la_moral_3p_random,5,5,47,633
A3K7CBKBEH9ZNN_m3r5,2014-09-09,10:38:47,la_moral_3p_random,5,5,47,634
A87FX9D14KMZM_m3r5,2014-09-09,10:39:14,la_moral_3p_random,10,5,47,635
353050_m3r5,2014-09-09,10:39:16,la_moral_3p_random,10,100,47,636
" ARNTOT4L28BBP_m3r5",2014-09-09,10:39:28,la_moral_3p_random,5,5,47,637
A1TU88CSLO4S3B_m3r5,2014-09-09,10:39:39,la_moral_3p_random,10,5,47,638
AF18OIZ0GWGP2_m3r5,2014-09-09,10:40:08,la_moral_3p_random,5,5,47,639
A3TQ7M1WPR7Q44_m3r5,2014-09-09,10:40:09,la_moral_3p_random,10,100,24,640
A2WLGVXAVT2XTR_m3r5,2014-09-09,10:40:37,la_moral_3p_random,5,5,47,641
A3TKPDAEAIP49V_m3r5,2014-09-09,10:41:32,la_moral_3p_random,0,100,47,642
A2BH9WN8HDLYMM_m3r5,2014-09-09,10:42:23,la_moral_3p_random,10,100,24,643
A1W8WP80JTGUFB_m3r5,2014-09-09,10:42:24,la_moral_3p_random,0,100,24,644
A35GF5387FHJLJ_m3r5,2014-09-09,10:42:56,la_moral_3p_random,1,0,24,645
A2VDLRRPXV3N59_m3r5,2014-09-09,10:43:12,la_moral_3p_random,5,5,47,646
A321AGEY23DDEH_m3r5,2014-09-09,10:43:24,la_moral_3p_random,5,5,12,647
A3288S6SY4V4NB_m3r5,2014-09-09,10:43:42,la_moral_3p_random,10,100,24,648
A164L54MG5UQAU_m3r5,2014-09-09,10:43:58,la_moral_3p_random,0,100,24,649
APR1H0B5FZNRE_m3r5,2014-09-09,10:44:18,la_moral_3p_random,10,100,47,650
A3N4KC3661ZIH6_m3r5,2014-09-09,10:45:13,la_moral_3p_random,5,5,47,651
A3EG0P2HP829FU_m3r5,2014-09-09,10:45:39,la_moral_3p_random,0,500,47,652
A80XHXZVOSB8E_m3r5,2014-09-09,10:45:47,la_moral_3p_random,0,10,24,653
A3C25ULYKB0F42_m3r5,2014-09-09,10:46:37,la_moral_3p_random,10,100,24,654
A27OFAZQ6UWWZ3_m3r5,2014-09-09,10:46:58,la_moral_3p_random,10,5,47,655
A1CGUFW3R6M234_m3r5,2014-09-09,10:50:30,la_moral_3p_random,5,5,47,656
ASFR82SJYMGNU_m3r5,2014-09-09,10:51:15,la_moral_3p_random,5,5,47,657
A2LJ3Z8LJESI7Z_m3r5,2014-09-09,10:53:28,la_moral_3p_random,5,5,47,658
A1EIBJSACH8DKX_m3r5,2014-09-09,10:54:14,la_moral_3p_random,5,5,47,659
A37RHQPON2RJYL_m3r5,2014-09-09,10:55:31,la_moral_3p_random,10,100,47,660
A19PATBI3SQNU0_m3r5,2014-09-09,11:18:40,la_moral_3p_random,10,1,47,661
A2ISR5FI0OIHE0_m3r5,2014-09-09,11:22:31,la_moral_3p_random,10,500,24,662
A2CSENNI43N272_m3r5,2014-09-09,11:24:01,la_moral_3p_random,5,100,47,663
A32QRY3NAE9PUD_m3r5,2014-09-09,11:24:43,la_moral_3p_random,0,100,24,664
A4SKTCPDTV550_m3r5,2014-09-09,11:26:51,la_moral_3p_random,10,100,24,665
A10VQSMGPJFSMU_m3r5,2014-09-09,11:26:56,la_moral_3p_random,5,5,47,666
A9S9MBO58AHKX_m3r5,2014-09-09,11:44:43,la_moral_3p_random,5,5,47,667
A39RF1I4KALHKM_m3r5,2014-09-09,11:55:19,la_moral_3p_random,10,100,24,668
ABKPEX0E9W2HW_m3r5,2014-09-09,11:55:32,la_moral_3p_random,5,5,47,669
A13EP1HO0F4GX_m3r5,2014-09-09,12:00:50,la_moral_3p_random,0,1,47,670
A3BFMY5OX2WMUW_m3r5,2014-09-09,12:12:48,la_moral_3p_random,10,5,47,671
A1FP3SH704X01V_m3r5,2014-09-09,12:13:36,la_moral_3p_random,10,100,4,672
A2O4M3CJS7563O_m3r5,2014-09-09,12:29:30,la_moral_3p_random,5,20,47,673
A1P7TCH4CD2GCV_m3r5,2014-09-09,12:32:40,la_moral_3p_random,1,100,96,674
A3OG9MWN7X6OYZ_m3r5,2014-09-09,12:41:37,la_moral_3p_random,10,100,24,675
A3F55JJCVTTCCW_m3r5,2014-09-09,12:44:20,la_moral_3p_random,0,5,2,676
A1Z8EJOEEHKUR6_m3r5,2014-09-09,12:50:47,la_moral_3p_random,0,5,47,677
AR2TF6FMFZGP9_m3r5,2014-09-09,13:06:40,la_moral_3p_random,5,5,47,678
A3DHJDGGSPEI0O_m3r5,2014-09-09,13:39:38,la_moral_3p_random,10,100,4,679
A3JJRBA7IT7QPL_m3r5,2014-09-09,14:03:29,la_moral_3p_random,5,5,47,680
A13A0EE7L3YZNB_m3r5,2014-09-09,14:08:57,la_moral_3p_random,0,100,47,681
A1PZ1YZAQEXRSQ_m3r5,2014-09-09,14:09:16,la_moral_3p_random,5,5,12,682
A2O3M7EMOF8JNV_m3r5,2014-09-09,14:10:29,la_moral_3p_random,5,100,24,683
A2GFRYX2PIRT4S_m3r5,2014-09-09,14:10:37,la_moral_3p_random,10,5,24,684
A34NNYE0Y7XCG7_m3r5,2014-09-09,14:12:02,la_moral_3p_random,5,5,47,685
A3TH4VAS25F4BG_m3r5,2014-09-09,14:12:31,la_moral_3p_random,90,10,12,686
