subject,datestamp,timestamp,version,d1,d2,d3,d4,d5,d6,d7,d8,d9,id
test_m3r5,2014-09-06,12:03:30,la_moral_3p_random,0,0,0,0,0,0,0,0,0,579
test_m3r5,2014-09-07,13:10:44,la_moral_3p_random,0,1,0,1,1,0,1,0,1,580
AZFMP1J0ZLX7J_m3r5,2014-09-08,10:44:18,la_moral_3p_random,0,0,1,0,1,0,0,0,1,581
A22051NK9RQ4FV_m3r5,2014-09-08,11:31:11,la_moral_3p_random,0,0,1,1,1,1,1,0,1,582
A1WLTQBWNBME3F_m3r5,2014-09-08,11:33:42,la_moral_3p_random,0,0,1,0,0,0,0,0,1,583
A27Z95LLMJ3UOM_m3r5,2014-09-08,12:14:40,la_moral_3p_random,0,0,1,1,1,1,1,1,1,584
A3267FRR3ER30C_m3r5,2014-09-08,12:27:00,la_moral_3p_random,0,1,1,1,1,1,1,1,1,585
A4NUJN9VSJC3W_m3r5,2014-09-08,12:28:38,la_moral_3p_random,0,0,1,0,1,0,1,0,1,586
A33B85TN97HQ33_m3r5,2014-09-08,12:29:55,la_moral_3p_random,0,0,1,0,1,0,1,0,1,587
A39C1BN9ZSQ0R2_m3r5,2014-09-08,12:30:56,la_moral_3p_random,0,0,1,0,1,0,1,0,1,588
A1IJ0ZPL5LSU2L_m3r5,2014-09-08,12:31:02,la_moral_3p_random,0,0,1,0,1,0,1,0,1,589
A1FAE7DKA544XV_m3r5,2014-09-08,12:31:23,la_moral_3p_random,0,0,1,0,0,0,1,0,1,590
A2DQ1VB93ZKWF2_m3r5,2014-09-08,12:31:23,la_moral_3p_random,0,0,1,1,1,1,1,0,1,591
AT49Y7HOUVIYU_m3r5,2014-09-08,12:31:38,la_moral_3p_random,0,0,1,1,1,0,0,0,1,592
A3QIG18VHBXBSZ_m3r5,2014-09-08,12:31:46,la_moral_3p_random,0,0,1,0,1,0,1,0,1,593
A2H4875Q9FY71K_m3r5,2014-09-08,12:31:47,la_moral_3p_random,0,0,1,0,1,0,0,0,1,594
A3ELH98LAETCP9_m3r5,2014-09-08,12:32:24,la_moral_3p_random,0,0,0,0,0,0,0,0,0,595
A2GAN77CVHWV45_m3r5,2014-09-08,12:32:25,la_moral_3p_random,0,0,1,0,1,0,0,0,1,596
