subject,datestamp,timestamp,version,crt1,crt2,crt3,id
A10YQTSBFQPKS3_m3r5,2014-08-19,17:00:25,lossave_moral,0,5,47,290
A2SNURWB6B2NXH_m3r5,2014-08-19,17:01:22,lossave_moral,0,5,47,291
A2NI99CLB8OQ1X_m3r5,2014-08-19,17:01:40,lossave_moral,0,100,24,292
A3F23C3ABMM0W0_m3r5,2014-08-19,17:01:42,lossave_moral,0,10,47,293
A1M03U3W99BGZ4_m3r5,2014-08-19,17:02:16,lossave_moral,10,100,24,294
A1LMGLI5F2ZT4W_m3r5,2014-08-19,17:02:41,lossave_moral,0,5,24,295
ARNVB51ESK8MO_m3r5,2014-08-19,17:02:57,lossave_moral,10,100,24,296
AABSPWSANUQZJ_m3r5,2014-08-19,17:03:01,lossave_moral,0,5,47,297
A38K3QQPV8CTPC_m3r5,2014-08-19,17:03:01,lossave_moral,5,5,47,298
A3N8JP3QR3VPE8_m3r5,2014-08-19,17:03:20,lossave_moral,5,100,47,299
A3SV1YMFKY73IB_m3r5,2014-08-19,17:03:38,lossave_moral,5,5,47,300
A318QP0E1HS9DX_m3r5,2014-08-19,17:04:08,lossave_moral,0,5,47,301
ADMTRXEG43HU0_m3r5,2014-08-19,17:04:30,lossave_moral,10,100,24,302
AWKM2C49JSGYK_m3r5,2014-08-19,17:04:39,lossave_moral,0,20,47,303
A3IJDYRFNW4QY8_m3r5,2014-08-19,17:05:10,lossave_moral,0,1,47,304
A3E6KX1ULZAWWO_m3r5,2014-08-19,17:05:14,lossave_moral,5,5,47,305
A1Q9NMVO8HTX8H_m3r5,2014-08-19,17:05:17,lossave_moral,0,5,47,306
A10ATSOWHLJ98L_m3r5,2014-08-19,17:05:26,lossave_moral,0,5,47,307
AO3XB5I5QNNUI_m3r5,2014-08-19,17:05:30,lossave_moral,5,5,47,308
A1Y3PGC0UILVJJ_m3r5,2014-08-19,17:05:37,lossave_moral,5,5,47,309
A37LY5UTJV2KYZ_m3r5,2014-08-19,17:05:41,lossave_moral,0,5,12,310
A2ZK1HOZ37TN2K_m3r5,2014-08-19,17:05:45,lossave_moral,0,100,47,311
AQ36OBO2GRA00_m3r5,2014-08-19,17:05:48,lossave_moral,5,5,47,312
A2CWJRAEFZ44HU_m3r5,2014-08-19,17:06:07,lossave_moral,0,10,47,313
A1OU0NJL1UTDJ7_m3r5,2014-08-19,17:06:19,lossave_moral,0,100,24,314
A2HXSWSLIESQY7_m3r5,2014-08-19,17:06:28,lossave_moral,0,100,24,315
A14PMN35FK9SOD_m3r5,2014-08-19,17:06:31,lossave_moral,10,5,47,316
A1DK4S6CPLH396_m3r5,2014-08-19,17:06:47,lossave_moral,10,100,47,317
AX1I9MBLJDKGA_m3r5,2014-08-19,17:06:58,lossave_moral,5,5,47,318
A2VCNB4XETPOT2_m3r5,2014-08-19,17:07:02,lossave_moral,10,1000,196,319
A3USS4O0RQZ37K_m3r5,2014-08-19,17:07:02,lossave_moral,10,100,32,320
A12UCN4XSJISMC_m3r5,2014-08-19,17:07:08,lossave_moral,10,100,24,321
A23O7BIKKPOZ2L_m3r5,2014-08-19,17:07:10,lossave_moral,0,5,47,322
A15K0L6NGQXOM0_m3r5,2014-08-19,17:07:11,lossave_moral,5,5,47,323
A35RGUQZRI1Q3M_m3r5,2014-08-19,17:07:12,lossave_moral,10,100,47,324
AQ2INPVVXR1G0_m3r5,2014-08-19,17:07:17,lossave_moral,5,5,47,325
A2RWYKSCTPWP1A_m3r5,2014-08-19,17:07:23,lossave_moral,10,100,24,326
AFS9PAUCGVKHG_m3r5,2014-08-19,17:07:30,lossave_moral,10,5,47,327
A2FY93E2VMYOVT_m3r5,2014-08-19,17:07:34,lossave_moral,10,100,24,328
A1WCAXCHWZPTFQ_m3r5,2014-08-19,17:07:56,lossave_moral,5,5,47,329
A9QJ4L8XYDGUM_m3r5,2014-08-19,17:08:19,lossave_moral,0,100,47,330
A2NQT50GA2G1B0_m3r5,2014-08-19,17:08:29,lossave_moral,10,100,24,331
A2N4DD7IS7EI2D_m3r5,2014-08-19,17:08:31,lossave_moral,50,60,112,332
A3GUDRDPMAPBKD_m3r5,2014-08-19,17:08:41,lossave_moral,0,5,47,333
A1W642DZKSARRI_m3r5,2014-08-19,17:08:44,lossave_moral,5,5,47,334
A4CWPB6SOQZDE_m3r5,2014-08-19,17:08:54,lossave_moral,5,5,47,335
AMS2DNBF8BGUM_m3r5,2014-08-19,17:08:57,lossave_moral,5,5,47,336
AVZOC3OGBQRX2_m3r5,2014-08-19,17:08:58,lossave_moral,0,5,47,337
A2551EKB87S2XY_m3r5,2014-08-19,17:09:12,lossave_moral,0,100,24,338
A173MXK429XAZQ_m3r5,2014-08-19,17:09:21,lossave_moral,5,5,47,339
" A2NFQGUAW8A3KK_m3r5",2014-08-19,17:09:28,lossave_moral,10,100,47,340
A13XNKKN2LI6DF_m3r5,2014-08-19,17:09:44,lossave_moral,105,5,47,341
A3TUN250T19AUM_m3r5,2014-08-19,17:09:50,lossave_moral,5,5,47,342
ATATCYCP7QBQ9_m3r5,2014-08-19,17:09:51,lossave_moral,0,5,47,343
A2AFTOA85C1FM9_m3r5,2014-08-19,17:09:57,lossave_moral,5,500,20,344
A1F8MOWCCVDIH2_m3r5,2014-08-19,17:09:57,lossave_moral,5,5,47,345
A3PNHCZVCBIEJ1_m3r5,2014-08-19,17:10:27,lossave_moral,10,5,47,346
ATS4LL42S463Z_m3r5,2014-08-19,17:10:40,lossave_moral,0,100,96,347
ATHS9GUME1XCA_m3r5,2014-08-19,17:10:51,lossave_moral,10,100,24,348
A17TJCEP04BEZ4_m3r5,2014-08-19,17:10:55,lossave_moral,0,100,24,349
A2H6XG5MS1WFFR_m3r5,2014-08-19,17:10:55,lossave_moral,0,100,47,350
A376N72I8BEE46_m3r5,2014-08-19,17:10:56,lossave_moral,10,5,36,351
