subject,datestamp,timestamp,version,moral1,moral2,moral3,id
A10YQTSBFQPKS3_m3r5,2014-08-19,16:52:53,lossave_moral,6,5,4,13
A20RO10FV0IOX_m3r5,2014-08-19,16:53:05,lossave_moral,4,5,3,14
A3N8JP3QR3VPE8_m3r5,2014-08-19,16:53:27,lossave_moral,3,4,5,15
AO3XB5I5QNNUI_m3r5,2014-08-19,16:53:27,lossave_moral,4,3,2,16
A318QP0E1HS9DX_m3r5,2014-08-19,16:53:32,lossave_moral,7,7,7,17
A1LMGLI5F2ZT4W_m3r5,2014-08-19,16:53:39,lossave_moral,4,4,1,18
A3F23C3ABMM0W0_m3r5,2014-08-19,16:53:49,lossave_moral,7,6,7,19
ARNVB51ESK8MO_m3r5,2014-08-19,16:53:58,lossave_moral,5,4,6,20
A38K3QQPV8CTPC_m3r5,2014-08-19,16:53:58,lossave_moral,7,7,7,21
A2SNURWB6B2NXH_m3r5,2014-08-19,16:54:06,lossave_moral,7,7,7,22
A1OU0NJL1UTDJ7_m3r5,2014-08-19,16:54:18,lossave_moral,6,6,7,23
" A3Q641Z2VDJ9W1_m3r5",2014-08-19,16:54:19,lossave_moral,7,4,7,24
A1Q9NMVO8HTX8H_m3r5,2014-08-19,16:54:27,lossave_moral,6,7,7,25
A389GJDJ0ARZTO_m3r5,2014-08-19,16:54:31,lossave_moral,4,3,4,26
A3SV1YMFKY73IB_m3r5,2014-08-19,16:54:35,lossave_moral,7,7,7,27
A14PMN35FK9SOD_m3r5,2014-08-19,16:54:37,lossave_moral,7,7,7,28
A1Y3PGC0UILVJJ_m3r5,2014-08-19,16:54:38,lossave_moral,7,7,7,29
AABSPWSANUQZJ_m3r5,2014-08-19,16:54:38,lossave_moral,7,7,7,30
A2HXSWSLIESQY7_m3r5,2014-08-19,16:54:44,lossave_moral,4,1,4,31
A2NI99CLB8OQ1X_m3r5,2014-08-19,16:54:46,lossave_moral,6,5,5,32
A2ZK1HOZ37TN2K_m3r5,2014-08-19,16:54:52,lossave_moral,6,6,4,33
ADMTRXEG43HU0_m3r5,2014-08-19,16:54:54,lossave_moral,7,7,7,34
AX1I9MBLJDKGA_m3r5,2014-08-19,16:55:00,lossave_moral,5,6,3,35
