subject,datestamp,timestamp,version,d1,d2,d3,d4,d5,d6,d7,d8,d9,id
A1WCAXCHWZPTFQ_m3r5,2014-08-19,17:07:50,lossave_moral,0,0,0,0,1,0,1,0,1,333
A9QJ4L8XYDGUM_m3r5,2014-08-19,17:07:53,lossave_moral,0,0,1,1,1,0,1,0,1,334
A2NQT50GA2G1B0_m3r5,2014-08-19,17:08:15,lossave_moral,0,0,1,0,1,1,1,0,1,335
A1W642DZKSARRI_m3r5,2014-08-19,17:08:22,lossave_moral,0,0,1,1,1,1,1,0,1,336
AVZOC3OGBQRX2_m3r5,2014-08-19,17:08:44,lossave_moral,0,0,1,0,1,0,1,0,1,337
AMS2DNBF8BGUM_m3r5,2014-08-19,17:08:44,lossave_moral,0,0,1,1,1,1,1,0,1,338
A3TUN250T19AUM_m3r5,2014-08-19,17:08:50,lossave_moral,0,0,1,0,1,0,0,0,1,339
A2551EKB87S2XY_m3r5,2014-08-19,17:08:54,lossave_moral,0,0,0,1,1,1,1,1,1,340
A173MXK429XAZQ_m3r5,2014-08-19,17:09:10,lossave_moral,0,0,1,0,1,0,0,0,1,341
ATATCYCP7QBQ9_m3r5,2014-08-19,17:09:31,lossave_moral,0,0,1,1,1,1,1,1,1,342
A376N72I8BEE46_m3r5,2014-08-19,17:09:33,lossave_moral,0,0,1,0,1,0,1,0,1,343
A2AFTOA85C1FM9_m3r5,2014-08-19,17:09:33,lossave_moral,0,0,0,0,0,0,0,0,0,344
A13XNKKN2LI6DF_m3r5,2014-08-19,17:09:34,lossave_moral,0,0,1,0,1,0,0,0,1,345
A1F8MOWCCVDIH2_m3r5,2014-08-19,17:09:44,lossave_moral,0,0,1,1,1,1,1,0,1,346
A11TVJYOUI2U25_m3r5,2014-08-19,17:10:03,lossave_moral,0,0,0,0,0,0,0,0,0,347
ATS4LL42S463Z_m3r5,2014-08-19,17:10:08,lossave_moral,0,0,1,0,1,0,0,0,1,348
A3PNHCZVCBIEJ1_m3r5,2014-08-19,17:10:12,lossave_moral,0,0,1,0,1,0,0,0,1,349
A17TJCEP04BEZ4_m3r5,2014-08-19,17:10:28,lossave_moral,0,0,1,0,1,0,1,0,1,350
A2H6XG5MS1WFFR_m3r5,2014-08-19,17:10:33,lossave_moral,0,0,1,0,0,0,1,0,1,351
A39IR8O68MS8OL_m3r5,2014-08-19,17:10:33,lossave_moral,0,0,1,0,1,0,1,0,1,352
A3K78FG696O9KL_m3r5,2014-08-19,17:10:36,lossave_moral,0,0,1,1,0,0,0,0,1,353
A389GJDJ0ARZTO_m3r5,2014-08-19,17:10:41,lossave_moral,0,1,1,1,0,1,0,1,0,354
ATHS9GUME1XCA_m3r5,2014-08-19,17:10:42,lossave_moral,0,0,1,0,1,0,0,0,1,355
A1Y8279NEP16J7_m3r5,2014-08-19,17:10:51,lossave_moral,0,0,1,0,0,0,0,0,1,356
A1G187YBG0DVMQ_m3r5,2014-08-19,17:11:10,lossave_moral,0,0,1,1,1,1,1,0,1,357
AFB9N61OMZXCX_m3r5,2014-08-19,17:11:11,lossave_moral,0,0,1,0,1,0,1,0,1,358
A34ZSF2JSRXIRP_m3r5,2014-08-19,17:11:25,lossave_moral,0,0,1,0,1,0,1,0,1,359
A25G79VS6OQCHW_m3r5,2014-08-19,17:11:27,lossave_moral,0,0,0,0,0,0,0,0,1,360
A3TON7406KNOVV_m3r5,2014-08-19,17:11:29,lossave_moral,0,0,1,1,1,0,1,0,1,361
A3HQXCWOIQKT4F_m3r5,2014-08-19,17:11:39,lossave_moral,0,0,1,0,1,0,0,0,1,362
ACTF0A4SXCOJB_m3r5,2014-08-19,17:11:42,lossave_moral,0,0,1,0,1,0,1,0,1,363
A1ZKLXSO7XLNZM_m3r5,2014-08-19,17:11:53,lossave_moral,0,0,1,0,0,0,0,0,1,364
ALK4VP6TPCBUV_m3r5,2014-08-19,17:11:59,lossave_moral,0,0,1,0,1,1,1,0,1,365
" A3Q641Z2VDJ9W1_m3r5",2014-08-19,17:11:59,lossave_moral,0,1,1,0,1,0,1,0,1,366
A1DJDT4B5B19Q2_m3r5,2014-08-19,17:12:00,lossave_moral,0,0,1,0,1,0,1,0,1,367
A041360625EP76Q4XEVR4_m3r5,2014-08-19,17:12:01,lossave_moral,0,0,1,0,1,0,0,0,1,368
A3OPSGM3T0DIZ7_m3r5,2014-08-19,17:12:15,lossave_moral,0,0,1,0,1,0,0,0,1,369
ARVXIBUCA8WDZ_m3r5,2014-08-19,17:12:32,lossave_moral,0,0,1,0,0,0,0,0,1,370
A1FY9O940O9KU6_m3r5,2014-08-19,17:12:39,lossave_moral,0,0,1,0,1,0,1,0,1,371
A35OGKV242IJ78_m3r5,2014-08-19,17:12:54,lossave_moral,0,0,1,0,1,0,0,0,1,372
A1BUZHBNG7S152_m3r5,2014-08-19,17:12:57,lossave_moral,0,0,1,1,1,1,0,1,0,373
A1AQI9O8MNVL91_m3r5,2014-08-19,17:13:01,lossave_moral,0,0,1,0,1,0,0,0,1,374
A150GMV1YQWWB3_m3r5,2014-08-19,17:13:02,lossave_moral,0,0,1,0,0,0,0,0,1,375
