subject,datestamp,timestamp,version,god,soc,fis,age,sex,edu,par,exd,id
A10YQTSBFQPKS3_m3r5,2014-08-19,17:00:41,lossave_moral,7,5,5,47,Male,"Master's Degree",147423,undefined,587
A2SNURWB6B2NXH_m3r5,2014-08-19,17:01:39,lossave_moral,2,3,4,21,Male,"Some College",168712,undefined,588
A2NI99CLB8OQ1X_m3r5,2014-08-19,17:01:56,lossave_moral,3,2,2,22,Femal,"Some College",143240,undefined,589
A3F23C3ABMM0W0_m3r5,2014-08-19,17:02:04,lossave_moral,2,3,5,29,Male,"Bachelor's Degree",182009,undefined,590
A1M03U3W99BGZ4_m3r5,2014-08-19,17:02:34,lossave_moral,1,3,5,21,Male,"Some College",152984,undefined,591
A1LMGLI5F2ZT4W_m3r5,2014-08-19,17:03:03,lossave_moral,7,5,4,30,Male,"Bachelor's Degree",209787,undefined,592
ARNVB51ESK8MO_m3r5,2014-08-19,17:03:14,lossave_moral,4,3,4,25,Femal,"Some College",154080,undefined,593
AABSPWSANUQZJ_m3r5,2014-08-19,17:03:18,lossave_moral,1,2,2,29,Male,"Bachelor's Degree",222408,undefined,594
A38K3QQPV8CTPC_m3r5,2014-08-19,17:03:24,lossave_moral,5,6,6,23,Femal,"Bachelor's Degree",144820,undefined,595
A3N8JP3QR3VPE8_m3r5,2014-08-19,17:03:40,lossave_moral,3,2,3,49,Femal,"Bachelor's Degree",251647,undefined,596
A3SV1YMFKY73IB_m3r5,2014-08-19,17:03:58,lossave_moral,7,5,5,30,Male,"Some College",232367,undefined,597
A318QP0E1HS9DX_m3r5,2014-08-19,17:04:27,lossave_moral,5,3,3,31,Male,"High School Graduate",259073,undefined,598
AWKM2C49JSGYK_m3r5,2014-08-19,17:04:58,lossave_moral,4,2,2,20,Femal,"Bachelor's Degree",290991,undefined,599
ADMTRXEG43HU0_m3r5,2014-08-19,17:05:10,lossave_moral,1,1,1,52,Femal,"Some College",239425,undefined,600
A3IJDYRFNW4QY8_m3r5,2014-08-19,17:05:31,lossave_moral,1,1,3,20,Femal,"Some College",210846,undefined,601
A3E6KX1ULZAWWO_m3r5,2014-08-19,17:05:33,lossave_moral,4,3,3,23,Male,"Some College",277888,undefined,602
A1Q9NMVO8HTX8H_m3r5,2014-08-19,17:05:33,lossave_moral,6,3,3,19,Male,"Some College",361168,undefined,603
A10ATSOWHLJ98L_m3r5,2014-08-19,17:05:40,lossave_moral,1,2,6,26,Femal,"Master's Degree",139935,undefined,604
AO3XB5I5QNNUI_m3r5,2014-08-19,17:05:52,lossave_moral,7,2,3,61,Femal,"High School Graduate",161572,undefined,605
A37LY5UTJV2KYZ_m3r5,2014-08-19,17:05:58,lossave_moral,4,3,5,22,Male,"Bachelor's Degree",230489,undefined,606
A1Y3PGC0UILVJJ_m3r5,2014-08-19,17:06:01,lossave_moral,6,2,2,35,Male,"Some College",228400,undefined,607
A2ZK1HOZ37TN2K_m3r5,2014-08-19,17:06:02,lossave_moral,1,3,3,21,Male,"Some College",222539,undefined,608
AQ36OBO2GRA00_m3r5,2014-08-19,17:06:08,lossave_moral,2,1,2,37,Femal,"Bachelor's Degree",173703,undefined,609
A2CWJRAEFZ44HU_m3r5,2014-08-19,17:06:28,lossave_moral,7,1,1,30,Male,"Some College",201560,undefined,610
A2HXSWSLIESQY7_m3r5,2014-08-19,17:06:50,lossave_moral,1,2,2,26,Male,"Some College",320767,undefined,611
A1OU0NJL1UTDJ7_m3r5,2014-08-19,17:06:50,lossave_moral,4,2,2,23,Femal,"Bachelor's Degree",241528,undefined,612
A14PMN35FK9SOD_m3r5,2014-08-19,17:07:03,lossave_moral,1,2,2,39,Femal,"High School Graduate",268709,undefined,613
A1DK4S6CPLH396_m3r5,2014-08-19,17:07:08,lossave_moral,1,1,4,18,Male,"Some College",360105,undefined,614
A2VCNB4XETPOT2_m3r5,2014-08-19,17:07:19,lossave_moral,7,5,6,34,Femal,"Master's Degree",169507,undefined,615
A3USS4O0RQZ37K_m3r5,2014-08-19,17:07:19,lossave_moral,1,2,3,39,Femal,"Master's Degree",234601,undefined,616
AX1I9MBLJDKGA_m3r5,2014-08-19,17:07:21,lossave_moral,2,3,3,29,Male,"Some College",357666,undefined,617
A12UCN4XSJISMC_m3r5,2014-08-19,17:07:28,lossave_moral,1,3,7,40,Femal,"Bachelor's Degree",224381,undefined,618
A15K0L6NGQXOM0_m3r5,2014-08-19,17:07:29,lossave_moral,2,2,5,35,Femal,"Bachelor's Degree",191529,undefined,619
A35RGUQZRI1Q3M_m3r5,2014-08-19,17:07:31,lossave_moral,1,2,2,19,Femal,"High School Graduate",284557,undefined,620
AQ2INPVVXR1G0_m3r5,2014-08-19,17:07:37,lossave_moral,7,1,1,33,Femal,"Bachelor's Degree",261191,undefined,621
A23O7BIKKPOZ2L_m3r5,2014-08-19,17:07:38,lossave_moral,2,2,2,22,Male,"Some College",388303,undefined,622
A2RWYKSCTPWP1A_m3r5,2014-08-19,17:07:44,lossave_moral,4,2,2,22,Femal,"Some College",264438,undefined,623
AFS9PAUCGVKHG_m3r5,2014-08-19,17:07:57,lossave_moral,1,2,1,48,Male,"Some College",336949,undefined,624
A2FY93E2VMYOVT_m3r5,2014-08-19,17:07:57,lossave_moral,2,2,3,23,Male,"Bachelor's Degree",134415,undefined,625
A1WCAXCHWZPTFQ_m3r5,2014-08-19,17:08:13,lossave_moral,1,2,2,24,Femal,"Some College",247431,undefined,626
A9QJ4L8XYDGUM_m3r5,2014-08-19,17:08:38,lossave_moral,1,2,2,26,Femal,"Bachelor's Degree",258590,undefined,627
A2N4DD7IS7EI2D_m3r5,2014-08-19,17:08:54,lossave_moral,1,4,4,24,Male,"High School Graduate",313297,undefined,628
A2NQT50GA2G1B0_m3r5,2014-08-19,17:08:56,lossave_moral,4,5,4,33,Male,"High School Graduate",268632,undefined,629
A1W642DZKSARRI_m3r5,2014-08-19,17:09:01,lossave_moral,7,2,2,30,Femal,"Bachelor's Degree",209424,undefined,630
A3GUDRDPMAPBKD_m3r5,2014-08-19,17:09:09,lossave_moral,7,3,5,35,Male,"Bachelor's Degree",300853,undefined,631
AMS2DNBF8BGUM_m3r5,2014-08-19,17:09:11,lossave_moral,1,2,4,23,Femal,"Bachelor's Degree",176196,undefined,632
A4CWPB6SOQZDE_m3r5,2014-08-19,17:09:17,lossave_moral,7,6,5,24,Femal,"Bachelor's Degree",252927,undefined,633
AVZOC3OGBQRX2_m3r5,2014-08-19,17:09:21,lossave_moral,1,1,2,33,Femal,"Master's Degree",415323,undefined,634
A173MXK429XAZQ_m3r5,2014-08-19,17:09:39,lossave_moral,7,4,5,29,Femal,"Bachelor's Degree",196233,undefined,635
" A2NFQGUAW8A3KK_m3r5",2014-08-19,17:09:48,lossave_moral,7,1,7,20,Male,"Some College",263271,undefined,636
A13XNKKN2LI6DF_m3r5,2014-08-19,17:10:01,lossave_moral,7,3,3,39,Male,"Bachelor's Degree",235011,undefined,637
ATATCYCP7QBQ9_m3r5,2014-08-19,17:10:11,lossave_moral,7,6,6,47,Femal,"Some College",415318,undefined,638
A3TUN250T19AUM_m3r5,2014-08-19,17:10:15,lossave_moral,1,1,2,29,Femal,"Some College",279755,undefined,639
A2AFTOA85C1FM9_m3r5,2014-08-19,17:10:20,lossave_moral,7,1,1,32,Femal,"High School Graduate",204750,undefined,640
A1F8MOWCCVDIH2_m3r5,2014-08-19,17:10:28,lossave_moral,1,1,4,46,Femal,"Master's Degree",313516,undefined,641
A2551EKB87S2XY_m3r5,2014-08-19,17:10:34,lossave_moral,5,2,2,35,Male,"Bachelor's Degree",423112,undefined,642
A3PNHCZVCBIEJ1_m3r5,2014-08-19,17:10:46,lossave_moral,3,3,5,29,Male,"Bachelor's Degree",182813,undefined,643
ATS4LL42S463Z_m3r5,2014-08-19,17:11:05,lossave_moral,7,6,5,27,Femal,"Graduate Degree",375036,undefined,644
ATHS9GUME1XCA_m3r5,2014-08-19,17:11:10,lossave_moral,7,5,5,49,Male,"Some High School",209796,undefined,645
A2H6XG5MS1WFFR_m3r5,2014-08-19,17:11:12,lossave_moral,1,1,1,27,Male,"Bachelor's Degree",182763,undefined,646
A389GJDJ0ARZTO_m3r5,2014-08-19,17:11:16,lossave_moral,5,5,5,43,Male,"Some College",94236,undefined,647
A376N72I8BEE46_m3r5,2014-08-19,17:11:31,lossave_moral,1,3,4,37,Male,"Master's Degree",489209,undefined,648
A17TJCEP04BEZ4_m3r5,2014-08-19,17:11:34,lossave_moral,4,4,5,64,Femal,"Some High School",368477,undefined,649
A1G187YBG0DVMQ_m3r5,2014-08-19,17:11:40,lossave_moral,5,4,5,22,Male,"Bachelor's Degree",142117,undefined,650
AFB9N61OMZXCX_m3r5,2014-08-19,17:11:45,lossave_moral,1,2,4,31,Femal,"High School Graduate",230643,undefined,651
A3K78FG696O9KL_m3r5,2014-08-19,17:11:54,lossave_moral,1,2,3,28,Femal,"Master's Degree",336190,undefined,652
A34ZSF2JSRXIRP_m3r5,2014-08-19,17:12:14,lossave_moral,1,2,2,32,Femal,"Bachelor's Degree",328667,undefined,653
A3TON7406KNOVV_m3r5,2014-08-19,17:12:21,lossave_moral,1,1,2,26,Male,"Bachelor's Degree",453819,undefined,654
A3HQXCWOIQKT4F_m3r5,2014-08-19,17:12:30,lossave_moral,1,2,2,25,Male,"Bachelor's Degree",336991,undefined,655
A1DJDT4B5B19Q2_m3r5,2014-08-19,17:12:38,lossave_moral,4,6,6,38,Femal,"Bachelor's Degree",234920,undefined,656
A1ZKLXSO7XLNZM_m3r5,2014-08-19,17:12:39,lossave_moral,7,1,4,33,Femal,"High School Graduate",206374,undefined,657
ALK4VP6TPCBUV_m3r5,2014-08-19,17:12:42,lossave_moral,1,3,4,27,Femal,"Some College",219133,undefined,658
ACTF0A4SXCOJB_m3r5,2014-08-19,17:12:46,lossave_moral,1,3,4,33,Male,"Some College",269250,undefined,659
" A3Q641Z2VDJ9W1_m3r5",2014-08-19,17:12:56,lossave_moral,6,4,4,25,Male,"Bachelor's Degree",387207,undefined,660
ARVXIBUCA8WDZ_m3r5,2014-08-19,17:12:57,lossave_moral,1,3,4,28,Male,"High School Graduate",348772,undefined,661
A39IR8O68MS8OL_m3r5,2014-08-19,17:13:10,lossave_moral,2,2,5,27,Femal,"Some College",349117,undefined,662
A041360625EP76Q4XEVR4_m3r5,2014-08-19,17:13:12,lossave_moral,1,1,2,26,Femal,"Bachelor's Degree",273646,undefined,663
A1Y8279NEP16J7_m3r5,2014-08-19,17:13:17,lossave_moral,3,3,4,32,Male,"Master's Degree",215584,undefined,664
A25G79VS6OQCHW_m3r5,2014-08-19,17:13:20,lossave_moral,1,1,1,32,Femal,"Some College",328918,undefined,665
A11TVJYOUI2U25_m3r5,2014-08-19,17:13:28,lossave_moral,7,4,4,21,Femal,"Some College",617534,undefined,666
A3OPSGM3T0DIZ7_m3r5,2014-08-19,17:13:33,lossave_moral,5,2,5,19,Femal,"High School Graduate",483060,undefined,667
A1AQI9O8MNVL91_m3r5,2014-08-19,17:13:34,lossave_moral,2,2,2,19,Male,"Some College",306865,undefined,668
A1FY9O940O9KU6_m3r5,2014-08-19,17:13:38,lossave_moral,4,3,3,19,Male,"High School Graduate",308998,undefined,669
" A1IZ4NX41GKU4X_m3r5",2014-08-19,17:13:39,lossave_moral,4,4,4,25,Male,"Bachelor's Degree",416456,undefined,670
A35OGKV242IJ78_m3r5,2014-08-19,17:13:45,lossave_moral,7,5,5,36,Male,"Some College",291537,undefined,671
A150GMV1YQWWB3_m3r5,2014-08-19,17:13:48,lossave_moral,2,3,5,35,Male,"High School Graduate",552565,undefined,672
A10V3PXHLR4VRM_m3r5,2014-08-19,17:14:08,lossave_moral,7,7,7,32,Femal,"Bachelor's Degree",233707,undefined,673
"       A1922YIUI5MMUP_m3r5",2014-08-19,17:14:34,lossave_moral,7,1,1,60,Femal,"Bachelor's Degree",245241,undefined,674
A2ZE2IPHK152KA_m3r5,2014-08-19,17:14:36,lossave_moral,4,3,3,26,Femal,"Some College",197304,undefined,675
A13Q8W0MU2Q928_m3r5,2014-08-19,17:14:37,lossave_moral,7,7,7,50,Femal,"Master's Degree",720021,undefined,676
A1MIEWVNQ9ZOWW_m3r5,2014-08-19,17:14:45,lossave_moral,1,4,4,28,Femal,"Some College",297627,undefined,677
A2WH5WTM85ZF7G_m3r5,2014-08-19,17:15:00,lossave_moral,7,3,4,41,Femal,"Some College",232949,undefined,678
A1BUZHBNG7S152_m3r5,2014-08-19,17:15:06,lossave_moral,5,5,4,84,Femal,"Some College",292076,undefined,679
A2QQFGD7K7AHK8_m3r5,2014-08-19,17:15:15,lossave_moral,1,1,1,26,Male,"Bachelor's Degree",178504,undefined,680
A22JDX98OTND6F_m3r5,2014-08-19,17:15:16,lossave_moral,1,3,2,24,Male,"Some College",701416,undefined,681
A2OF53SX9BQ7RO_m3r5,2014-08-19,17:15:24,lossave_moral,5,4,5,38,Male,"Some College",408923,undefined,682
AKB1IT758U2LU_m3r5,2014-08-19,17:15:31,lossave_moral,7,4,4,22,Male,"Some College",165881,undefined,683
A37EC6JJ8SSJ2J_m3r5,2014-08-19,17:15:34,lossave_moral,7,7,7,39,Male,"Some College",547976,undefined,684
A6IFGLL1RUCZU_m3r5,2014-08-19,17:15:45,lossave_moral,5,4,4,31,Femal,"Bachelor's Degree",274962,undefined,685
AU0NZI2T3R792_m3r5,2014-08-19,17:15:52,lossave_moral,4,2,2,40,Male,"Bachelor's Degree",181650,undefined,686
A2FMIQ8I86GWVQ_m3r5,2014-08-19,17:16:26,lossave_moral,5,3,4,35,Male,"Bachelor's Degree",328572,undefined,687
A2Y0ZGI29KQBTB_m3r5,2014-08-19,17:16:30,lossave_moral,1,3,3,26,Male,"Bachelor's Degree",972829,undefined,688
A2IFAPS9K2J2QC_m3r5,2014-08-19,17:16:41,lossave_moral,6,3,6,34,Femal,"Bachelor's Degree",206103,undefined,689
A3LMBD00DY11MJ_m3r5,2014-08-19,17:16:52,lossave_moral,7,1,1,61,Femal,"Bachelor's Degree",477962,undefined,690
A1IOJ2LGMGISYM_m3r5,2014-08-19,17:16:52,lossave_moral,1,1,1,26,Femal,"Some College",255700,undefined,691
AXPJ220BBN3MU_m3r5,2014-08-19,17:16:53,lossave_moral,1,4,4,33,Femal,"High School Graduate",244283,undefined,692
A1SIJ3BJFDZ8CU_m3r5,2014-08-19,17:16:59,lossave_moral,1,2,2,36,Femal,"Some College",208765,undefined,693
A1JT8X72RBC8S5_m3r5,2014-08-19,17:17:07,lossave_moral,4,2,2,24,Male,"Master's Degree",509636,undefined,694
A3GWGTLQNHVQ2M_m3r5,2014-08-19,17:17:12,lossave_moral,3,1,1,33,Femal,"Bachelor's Degree",171972,undefined,695
AISWQM71RW9A2_m3r5,2014-08-19,17:17:21,lossave_moral,3,3,4,33,Male,"Bachelor's Degree",344452,undefined,696
A1FZJ3S9CN8Z7T_m3r5,2014-08-19,17:17:41,lossave_moral,4,5,4,24,Male,"Some College",562244,undefined,697
