subject,datestamp,timestamp,version,god,soc,fis,age,sex,edu,par,exd,id
A32VJLRWGMYGSU_m3r5,2014-08-19,17:17:44,lossave_moral,1,1,1,60,Femal,"Bachelor's Degree",554047,undefined,698
A1CUIN1FSZCM50_m3r5,2014-08-19,17:17:45,lossave_moral,7,1,3,56,Femal,"Some College",241394,undefined,699
A3CLS3ZSAIOAHC_m3r5,2014-08-19,17:17:56,lossave_moral,7,5,5,49,Male,"Some College",375187,undefined,700
ATDFF5B4NKQC7_m3r5,2014-08-19,17:18:01,lossave_moral,1,4,2,68,Femal,"High School Graduate",265344,undefined,701
A1KISETSF4J3FI_m3r5,2014-08-19,17:18:19,lossave_moral,2,2,5,22,Femal,"Bachelor's Degree",393201,undefined,702
A2XTUQ4CD1LF2K_m3r5,2014-08-19,17:18:23,lossave_moral,7,1,5,70,Male,"Some College",287203,undefined,703
A3J55BJGV95JKH_m3r5,2014-08-19,17:18:50,lossave_moral,7,2,3,40,Femal,"Some College",277232,undefined,704
A1F0VPCA2QEVKZ_m3r5,2014-08-19,17:18:53,lossave_moral,7,4,4,30,Male,"Some College",435695,undefined,705
A3938KLA9ORH2U_m3r5,2014-08-19,17:19:00,lossave_moral,6,3,5,31,Femal,"Bachelor's Degree",290923,undefined,706
A1H198MRIM37T1_m3r5,2014-08-19,17:19:10,lossave_moral,7,6,6,38,Male,"Bachelor's Degree",202280,undefined,707
A2B5HZBQ6C3J3L_m3r5,2014-08-19,17:19:16,lossave_moral,1,2,3,28,Male,"Bachelor's Degree",606158,undefined,708
A1EPR9V3VID3RI_m3r5,2014-08-19,17:19:21,lossave_moral,4,4,4,24,Male,"Some College",245864,undefined,709
AVPKE76DJLWK6_m3r5,2014-08-19,17:19:29,lossave_moral,1,1,3,30,Male,"Bachelor's Degree",101430,undefined,710
A2KPT0PEUEXCC4_m3r5,2014-08-19,17:19:34,lossave_moral,5,6,6,39,Male,"High School Graduate",237178,undefined,711
AQHYHAYS90S76_m3r5,2014-08-19,17:19:39,lossave_moral,6,4,4,23,Femal,"Bachelor's Degree",252883,undefined,712
A2M2BNQ1XW3J4Y_m3r5,2014-08-19,17:19:49,lossave_moral,2,3,4,36,Male,"Bachelor's Degree",241084,undefined,713
A3JTR8H8X5WF11_m3r5,2014-08-19,17:20:29,lossave_moral,2,2,4,26,Femal,"Graduate Degree",373203,undefined,714
A2X7J4C6MIXVDB_m3r5,2014-08-19,17:20:53,lossave_moral,7,7,7,52,Male,"Bachelor's Degree",185480,undefined,715
A2WDTJBM4ES5S4_m3r5,2014-08-19,17:21:02,lossave_moral,7,5,6,50,Femal,"Master's Degree",445561,undefined,716
A2GZI3UFOTY969_m3r5,2014-08-19,17:21:08,lossave_moral,4,2,2,25,Femal,"Some College",359056,undefined,717
A2P6VK1US8OTC5_m3r5,2014-08-19,17:21:15,lossave_moral,1,4,4,44,Femal,"High School Graduate",370238,undefined,718
A3RU7ANMLXJQF6_m3r5,2014-08-19,17:21:29,lossave_moral,7,4,4,23,Femal,"Some College",112029,undefined,719
A21EPR8KW0GWX2_m3r5,2014-08-19,17:21:31,lossave_moral,1,1,6,29,Femal,"Some College",275723,undefined,720
AT9AFUEEYD8DE_m3r5,2014-08-19,17:21:32,lossave_moral,7,4,4,30,Femal,"Some College",641033,undefined,721
A2OLVF6P86QSQJ_m3r5,2014-08-19,17:21:40,lossave_moral,1,1,1,29,Male,"Master's Degree",133303,undefined,722
A35UUN98XNQJJS_m3r5,2014-08-19,17:22:10,lossave_moral,4,5,2,36,Male,"Some College",429047,undefined,723
A1H3TNUIQS76TM_m3r5,2014-08-19,17:22:10,lossave_moral,7,5,6,31,Male,"High School Graduate",245961,undefined,724
A3U3JYF64SJ4EJ_m3r5,2014-08-19,17:22:15,lossave_moral,2,1,2,58,Femal,"Bachelor's Degree",603506,undefined,725
AKG7VBOY97HKA_m3r5,2014-08-19,17:22:15,lossave_moral,7,7,7,67,Femal,"High School Graduate",353336,undefined,726
A16GYJ4ZNAJ1FE_m3r5,2014-08-19,17:22:21,lossave_moral,1,4,4,25,Male,"Some College",230942,undefined,727
AB1X97ASE626Q_m3r5,2014-08-19,17:22:53,lossave_moral,1,1,1,34,Male,"Some College",306863,undefined,728
A3R75ZHD4610J_m3r5,2014-08-19,17:23:01,lossave_moral,2,1,3,21,Femal,"Some College",270440,undefined,729
A3AZJGI9D7C0PD_m3r5,2014-08-19,17:23:09,lossave_moral,7,7,7,34,Femal,"Bachelor's Degree",237570,undefined,730
A1XR97XSHB17AB_m3r5,2014-08-19,17:23:15,lossave_moral,5,4,5,38,Male,"High School Graduate",289579,undefined,731
A1LO480CZXGR32_m3r5,2014-08-19,17:23:16,lossave_moral,7,5,6,34,Femal,"Master's Degree",258248,undefined,732
A3DAXQCWF0YI0M_m3r5,2014-08-19,17:23:17,lossave_moral,1,2,2,47,Femal,"Some College",247965,undefined,733
A8ZJ0R59VBVMC_m3r5,2014-08-19,17:23:18,lossave_moral,1,3,4,32,Femal,"Bachelor's Degree",307908,undefined,734
" ASUN9TWBTBRCY_m3r5",2014-08-19,17:23:25,lossave_moral,1,2,4,33,Femal,"Some College",337346,undefined,735
A6GK3W5MDWXCY_m3r5,2014-08-19,17:23:27,lossave_moral,1,5,5,46,Femal,"Bachelor's Degree",216906,undefined,736
A2EP2TI8HE8EGK_m3r5,2014-08-19,17:23:32,lossave_moral,6,3,4,26,Femal,"Master's Degree",223559,undefined,737
A4N6HMS8AW9ZB_m3r5,2014-08-19,17:23:33,lossave_moral,6,3,3,25,Male,"Middle School",263770,undefined,738
A2FRFMTVRHBF53_m3r5,2014-08-19,17:23:48,lossave_moral,7,4,5,52,Femal,"Some College",255094,undefined,739
" A37FQI6S9XARBT_m3r5",2014-08-19,17:23:50,lossave_moral,7,6,3,31,Femal,"Bachelor's Degree",237627,undefined,740
A3H4B9BMSFGXWG_m3r5,2014-08-19,17:23:54,lossave_moral,5,3,4,35,Male,"High School Graduate",355658,undefined,741
AAS0V105QISPM_m3r5,2014-08-19,17:23:58,lossave_moral,6,6,6,31,Femal,"Some College",284834,undefined,742
A1KOHXO0BIQB8T_m3r5,2014-08-19,17:24:38,lossave_moral,6,5,6,61,Male,"High School Graduate",202644,undefined,743
A14WLAP6TCEKO0_m3r5,2014-08-19,17:24:39,lossave_moral,1,2,2,30,Male,"Bachelor's Degree",170031,undefined,744
A2L73JKDFWI0KJ_m3r5,2014-08-19,17:24:41,lossave_moral,0,0,0,56,Femal,"Some College",287670,undefined,745
AY1CM9ZI774II_m3r5,2014-08-19,17:24:50,lossave_moral,4,2,7,31,Male,"High School Graduate",250193,undefined,746
A18DKL63PB77JH_m3r5,2014-08-19,17:24:52,lossave_moral,1,2,2,29,Femal,"Some College",157254,undefined,747
A1T9ZEA4PGLHYD_m3r5,2014-08-19,17:25:07,lossave_moral,7,5,4,27,Male,"Bachelor's Degree",555647,undefined,748
ARN53ET0LBBBP_m3r5,2014-08-19,17:25:13,lossave_moral,1,3,3,19,Femal,"Some College",282103,undefined,749
AVIOR20K5ZXQD_m3r5,2014-08-19,17:25:13,lossave_moral,1,2,2,23,Femal,"Bachelor's Degree",171967,undefined,750
A1OW8OJ9OIY182_m3r5,2014-08-19,17:25:19,lossave_moral,5,2,3,40,Femal,"Bachelor's Degree",166043,undefined,751
A1QMSDPJMMIO0T_m3r5,2014-08-19,17:25:22,lossave_moral,1,5,5,32,Male,"High School Graduate",257713,undefined,752
A1QCJ8KX7WWY1B_m3r5,2014-08-19,17:25:23,lossave_moral,7,4,4,19,Male,"Some College",454983,undefined,753
A3AQYGTOA6MFL8_m3r5,2014-08-19,17:25:29,lossave_moral,2,1,1,33,Femal,"Master's Degree",211234,undefined,754
A3675LEANIPGBO_m3r5,2014-08-19,17:25:58,lossave_moral,1,1,4,38,Male,"Some College",216393,undefined,755
A1K6T4BCZASC50_m3r5,2014-08-19,17:26:03,lossave_moral,6,3,3,26,Male,"Some College",214255,undefined,756
A2NZ7RMSBXESNI_m3r5,2014-08-19,17:26:04,lossave_moral,4,4,5,59,Femal,"Some College",1327881,undefined,757
A32MGSAQ6QL9CK_m3r5,2014-08-19,17:26:17,lossave_moral,1,1,1,29,Femal,"Master's Degree",212762,undefined,758
A315IS7QIVORIT_m3r5,2014-08-19,17:26:23,lossave_moral,7,5,6,38,Male,"Some College",259340,undefined,759
A3QLTVQPG1N27R_m3r5,2014-08-19,17:26:26,lossave_moral,5,4,4,26,Male,"High School Graduate",322174,undefined,760
A17BQ2QRW1V9AO_m3r5,2014-08-19,17:26:34,lossave_moral,4,4,4,38,Male,"High School Graduate",184450,undefined,761
A5ZWYI3H052FT_m3r5,2014-08-19,17:26:38,lossave_moral,7,2,2,46,Femal,"Some College",232531,undefined,762
A269Z70PE47Z5X_m3r5,2014-08-19,17:26:38,lossave_moral,2,3,2,34,Femal,"Bachelor's Degree",714303,undefined,763
A22KRF782ELLB0_m3r5,2014-08-19,17:26:46,lossave_moral,4,1,2,32,Male,"Bachelor's Degree",216926,undefined,764
A1PIJKC3FM7B60_m3r5,2014-08-19,17:27:03,lossave_moral,7,4,4,52,Femal,"Some College",401744,undefined,765
A33AZCOKCCTUXV_m3r5,2014-08-19,17:27:13,lossave_moral,1,2,2,34,Male,"Some College",272321,undefined,766
A2MQXFHQABHJ8E_m3r5,2014-08-19,17:27:17,lossave_moral,6,4,7,24,Femal,"Some College",196909,undefined,767
A3MFS69UTW9KL8_m3r5,2014-08-19,17:27:19,lossave_moral,3,2,4,31,Male,"High School Graduate",673779,undefined,768
A35BNQU01DFD0D_m3r5,2014-08-19,17:27:37,lossave_moral,1,4,4,22,Male,"Some College",190412,undefined,769
A1GDDULNGBI1P9_m3r5,2014-08-19,17:27:43,lossave_moral,4,3,3,21,Male,"Some College",251893,undefined,770
A2ALWT2BUSXD83_m3r5,2014-08-19,17:27:43,lossave_moral,1,3,4,21,Male,"Some College",315665,undefined,771
A2SVUP7CUY0P3L_m3r5,2014-08-19,17:27:43,lossave_moral,2,3,3,23,Male,"Bachelor's Degree",270460,undefined,772
A70AS0KVKADBY_m3r5,2014-08-19,17:27:59,lossave_moral,1,2,5,27,Femal,"Some College",238214,undefined,773
A2TVG2HLMKVMSL_m3r5,2014-08-19,17:28:02,lossave_moral,1,2,2,33,Male,"Some College",259755,undefined,774
A423QQ5WN43B9_m3r5,2014-08-19,17:28:07,lossave_moral,6,6,5,25,Male,"Bachelor's Degree",402469,undefined,775
A2EM7RPFW3DU9N_m3r5,2014-08-19,17:28:13,lossave_moral,1,6,6,60,Femal,"Some College",339874,undefined,776
A3KO0A2DR3CH4F_m3r5,2014-08-19,17:28:23,lossave_moral,7,5,5,50,Femal,"High School Graduate",483821,undefined,777
A3TG5YNIWW3WGP_m3r5,2014-08-19,17:28:23,lossave_moral,7,1,3,24,Femal,"Bachelor's Degree",212580,undefined,778
A31O5XYX80XD21_m3r5,2014-08-19,17:28:34,lossave_moral,4,3,3,25,Male,"Bachelor's Degree",435214,undefined,779
AF55TOBE2AI1U_m3r5,2014-08-19,17:28:35,lossave_moral,5,3,3,46,Femal,"High School Graduate",295455,undefined,780
A35QKJ6MGNT45D_m3r5,2014-08-19,17:28:36,lossave_moral,1,2,3,19,Male,"Some College",181578,undefined,781
A2AG0341RLZ2L8_m3r5,2014-08-19,17:28:41,lossave_moral,6,6,6,31,Femal,"Some College",265894,undefined,782
ACVN9KEBM2GHR_m3r5,2014-08-19,17:28:43,lossave_moral,4,3,3,31,Male,"Bachelor's Degree",287362,undefined,783
A162Z8CZSL0NG1_m3r5,2014-08-19,17:28:49,lossave_moral,2,3,3,23,Femal,"Bachelor's Degree",254763,undefined,784
A3CD3C99T8S6ON_m3r5,2014-08-19,17:28:54,lossave_moral,1,3,4,25,Male,"Bachelor's Degree",239239,undefined,785
AEVU71Z2FDTUX_m3r5,2014-08-19,17:29:15,lossave_moral,1,1,5,27,Male,"Some College",1517731,undefined,786
A1FHY6RNR9QHT9_m3r5,2014-08-19,17:29:22,lossave_moral,7,7,7,27,Femal,"Bachelor's Degree",256192,undefined,787
AN25IBDC0DUO7_m3r5,2014-08-19,17:29:24,lossave_moral,1,1,1,22,Femal,"Some College",412349,undefined,788
A3QSI8SVB5HJI7_m3r5,2014-08-19,17:29:44,lossave_moral,3,2,4,24,Male,"Some College",307217,undefined,789
" A1PYODCHRF96S8_m3r5",2014-08-19,17:29:55,lossave_moral,2,1,1,58,Femal,"Some College",493567,undefined,790
A23UGHBSIY45CU_m3r5,2014-08-19,17:29:55,lossave_moral,7,2,1,70,Femal,"Master's Degree",495432,undefined,791
A30EONSVHP1J0F_m3r5,2014-08-19,17:29:56,lossave_moral,2,4,4,24,Male,"Some College",251783,undefined,792
