subject,datestamp,timestamp,version,pur1,pur2,pur3,id
AWKM2C49JSGYK_m3r5,2014-08-19,16:55:36,lossave_moral,7,7,3,331
A1M03U3W99BGZ4_m3r5,2014-08-19,16:55:52,lossave_moral,6,6,4,332
A2N4DD7IS7EI2D_m3r5,2014-08-19,16:56:19,lossave_moral,1,7,7,333
A11TVJYOUI2U25_m3r5,2014-08-19,16:56:33,lossave_moral,7,7,1,334
A150GMV1YQWWB3_m3r5,2014-08-19,16:56:42,lossave_moral,5,5,3,335
A3IJDYRFNW4QY8_m3r5,2014-08-19,16:56:43,lossave_moral,3,5,1,336
A1TM2CV6CNVWGB_m3r5,2014-08-19,16:56:45,lossave_moral,1,1,1,337
A2CWJRAEFZ44HU_m3r5,2014-08-19,16:56:56,lossave_moral,2,4,1,338
A23O7BIKKPOZ2L_m3r5,2014-08-19,16:57:12,lossave_moral,6,3,2,339
A1WCAXCHWZPTFQ_m3r5,2014-08-19,16:57:23,lossave_moral,3,2,1,340
A1DK4S6CPLH396_m3r5,2014-08-19,16:57:24,lossave_moral,1,1,1,341
ATATCYCP7QBQ9_m3r5,2014-08-19,16:57:25,lossave_moral,5,5,5,342
A3E6KX1ULZAWWO_m3r5,2014-08-19,16:57:28,lossave_moral,4,7,4,343
A17TJCEP04BEZ4_m3r5,2014-08-19,16:57:34,lossave_moral,6,6,2,344
A37LY5UTJV2KYZ_m3r5,2014-08-19,16:57:39,lossave_moral,6,1,1,345
A3USS4O0RQZ37K_m3r5,2014-08-19,16:57:43,lossave_moral,5,2,1,346
A35RGUQZRI1Q3M_m3r5,2014-08-19,16:57:46,lossave_moral,5,2,1,347
A15K0L6NGQXOM0_m3r5,2014-08-19,16:57:49,lossave_moral,7,7,7,348
A3OPSGM3T0DIZ7_m3r5,2014-08-19,16:57:53,lossave_moral,4,6,2,349
" A2NFQGUAW8A3KK_m3r5",2014-08-19,16:57:55,lossave_moral,6,7,7,350
A3GUDRDPMAPBKD_m3r5,2014-08-19,16:57:57,lossave_moral,5,3,5,351
A3K78FG696O9KL_m3r5,2014-08-19,16:57:58,lossave_moral,7,7,1,352
A2RWYKSCTPWP1A_m3r5,2014-08-19,16:58:00,lossave_moral,6,7,2,353
A3TUN250T19AUM_m3r5,2014-08-19,16:58:05,lossave_moral,7,7,4,354
AEVU71Z2FDTUX_m3r5,2014-08-19,16:58:10,lossave_moral,4,2,1,355
A22JDX98OTND6F_m3r5,2014-08-19,16:58:16,lossave_moral,4,6,2,356
AQ36OBO2GRA00_m3r5,2014-08-19,16:58:21,lossave_moral,1,2,1,357
A39IR8O68MS8OL_m3r5,2014-08-19,16:58:27,lossave_moral,7,3,1,358
A2VCNB4XETPOT2_m3r5,2014-08-19,16:58:31,lossave_moral,1,1,1,359
A4CWPB6SOQZDE_m3r5,2014-08-19,16:58:33,lossave_moral,7,6,6,360
A2NQT50GA2G1B0_m3r5,2014-08-19,16:58:35,lossave_moral,5,7,7,361
A376N72I8BEE46_m3r5,2014-08-19,16:59:02,lossave_moral,5,1,1,362
AQ2INPVVXR1G0_m3r5,2014-08-19,16:59:04,lossave_moral,7,7,1,363
ATS4LL42S463Z_m3r5,2014-08-19,16:59:17,lossave_moral,1,1,1,364
A9QJ4L8XYDGUM_m3r5,2014-08-19,16:59:18,lossave_moral,1,3,1,365
A2FY93E2VMYOVT_m3r5,2014-08-19,16:59:21,lossave_moral,2,3,1,366
A1F8MOWCCVDIH2_m3r5,2014-08-19,16:59:29,lossave_moral,2,3,2,367
A12UCN4XSJISMC_m3r5,2014-08-19,16:59:37,lossave_moral,5,3,3,368
AMS2DNBF8BGUM_m3r5,2014-08-19,16:59:38,lossave_moral,6,5,1,369
A173MXK429XAZQ_m3r5,2014-08-19,16:59:39,lossave_moral,6,4,4,370
A1BUZHBNG7S152_m3r5,2014-08-19,16:59:49,lossave_moral,7,7,7,371
AVZOC3OGBQRX2_m3r5,2014-08-19,16:59:49,lossave_moral,1,2,1,372
A13XNKKN2LI6DF_m3r5,2014-08-19,16:59:55,lossave_moral,2,2,1,373
A37EC6JJ8SSJ2J_m3r5,2014-08-19,16:59:58,lossave_moral,6,6,6,374
ACTF0A4SXCOJB_m3r5,2014-08-19,17:00:15,lossave_moral,1,1,1,375
A1W642DZKSARRI_m3r5,2014-08-19,17:00:30,lossave_moral,2,5,1,376
A1JT8X72RBC8S5_m3r5,2014-08-19,17:00:38,lossave_moral,6,6,3,377
A1IOJ2LGMGISYM_m3r5,2014-08-19,17:00:41,lossave_moral,1,1,1,378
A041360625EP76Q4XEVR4_m3r5,2014-08-19,17:00:57,lossave_moral,6,7,4,379
A3HQXCWOIQKT4F_m3r5,2014-08-19,17:01:01,lossave_moral,6,6,1,380
A1FY9O940O9KU6_m3r5,2014-08-19,17:01:05,lossave_moral,6,5,2,381
A1Y8279NEP16J7_m3r5,2014-08-19,17:01:05,lossave_moral,2,2,2,382
A2551EKB87S2XY_m3r5,2014-08-19,17:01:10,lossave_moral,4,5,2,383
"       A1922YIUI5MMUP_m3r5",2014-08-19,17:01:12,lossave_moral,7,7,7,384
ATHS9GUME1XCA_m3r5,2014-08-19,17:01:18,lossave_moral,3,7,3,385
A389GJDJ0ARZTO_m3r5,2014-08-19,17:01:28,lossave_moral,4,6,5,386
A34ZSF2JSRXIRP_m3r5,2014-08-19,17:01:46,lossave_moral,6,7,5,387
AFB9N61OMZXCX_m3r5,2014-08-19,17:01:56,lossave_moral,7,7,1,388
A10V3PXHLR4VRM_m3r5,2014-08-19,17:02:00,lossave_moral,7,7,4,389
A2AFTOA85C1FM9_m3r5,2014-08-19,17:02:00,lossave_moral,7,7,1,390
A3I7POZIF1UDTQ_m3r5,2014-08-19,17:02:02,lossave_moral,7,7,3,391
A1F0VPCA2QEVKZ_m3r5,2014-08-19,17:02:03,lossave_moral,4,7,4,392
A25G79VS6OQCHW_m3r5,2014-08-19,17:02:13,lossave_moral,7,7,7,393
A1G187YBG0DVMQ_m3r5,2014-08-19,17:02:14,lossave_moral,7,5,3,394
A2H6XG5MS1WFFR_m3r5,2014-08-19,17:02:17,lossave_moral,7,7,7,395
