subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
AJMKH3WN5HAN7_m3r5,8/19/2014,17:56:58,lossave_moral,10,100,24,539,0,,,,
AKB1IT758U2LU_m3r5,8/19/2014,17:15:15,lossave_moral,5,100,24,388,1,,,,
AKG7VBOY97HKA_m3r5,8/19/2014,17:21:44,lossave_moral,10,25,48,427,0,,,,
ALILKWW13RD9_m3r5,8/19/2014,17:32:25,lossave_moral,0,100,96,509,0,,,,
ALK4VP6TPCBUV_m3r5,8/19/2014,17:12:18,lossave_moral,5,5,47,363,3,,,,
ALN8151AY0OUT_m3r5,8/19/2014,17:44:59,lossave_moral,5,5,47,528,3,,,,
AMS2DNBF8BGUM_m3r5,8/19/2014,17:08:57,lossave_moral,5,5,47,336,3,,,,
AN25IBDC0DUO7_m3r5,8/19/2014,17:29:08,lossave_moral,5,5,47,492,3,,,,
ANMC5ZLSMTY43_m3r5,8/19/2014,17:31:11,lossave_moral,5,100,36,504,1,,,,
AO3XB5I5QNNUI_m3r5,8/19/2014,17:05:30,lossave_moral,5,5,47,308,3,,,,
AQ2INPVVXR1G0_m3r5,8/19/2014,17:07:17,lossave_moral,5,5,47,325,3,,,,
AQ36OBO2GRA00_m3r5,8/19/2014,17:05:48,lossave_moral,5,5,47,312,3,,,,
AQHYHAYS90S76_m3r5,8/19/2014,17:19:20,lossave_moral,10,100,24,415,0,,,,
ARN53ET0LBBBP_m3r5,8/19/2014,17:24:54,lossave_moral,5,5,47,453,3,,,,
ARNVB51ESK8MO_m3r5,8/19/2014,17:02:57,lossave_moral,10,100,24,296,0,,,,
ARVXIBUCA8WDZ_m3r5,8/19/2014,17:12:42,lossave_moral,5,5,47,369,3,,,,
ASXACVODSYD7G_m3r5,8/19/2014,18:19:23,lossave_moral,0,5,47,553,2,,,,
AT9AFUEEYD8DE_m3r5,8/19/2014,17:20:18,lossave_moral,10,100,24,418,0,,,,
ATATCYCP7QBQ9_m3r5,8/19/2014,17:09:51,lossave_moral,0,5,47,343,2,,,,
ATDFF5B4NKQC7_m3r5,8/19/2014,17:17:35,lossave_moral,10,5,12,404,1,,,,
ATHS9GUME1XCA_m3r5,8/19/2014,17:10:51,lossave_moral,10,100,24,348,0,,,,
ATS4LL42S463Z_m3r5,8/19/2014,17:10:40,lossave_moral,0,100,96,347,0,,,,
ATVU7N0LN2VY3_m3r5,8/19/2014,17:33:41,lossave_moral,5,5,47,514,3,,,,
AU0NZI2T3R792_m3r5,8/19/2014,17:15:31,lossave_moral,1,100,47,390,1,,,,
AVIOR20K5ZXQD_m3r5,8/19/2014,17:24:57,lossave_moral,0,5,47,454,2,,,,
AVPKE76DJLWK6_m3r5,8/19/2014,17:19:01,lossave_moral,0,5,47,413,2,,,,
AVRED1AI0MTSU_m3r5,8/19/2014,18:11:10,lossave_moral,0,1,47,547,1,,,,
AVZOC3OGBQRX2_m3r5,8/19/2014,17:08:58,lossave_moral,0,5,47,337,2,,,,
AWKM2C49JSGYK_m3r5,8/19/2014,17:04:39,lossave_moral,0,20,47,303,1,,,,
AX1I9MBLJDKGA_m3r5,8/19/2014,17:06:58,lossave_moral,5,5,47,318,3,,,,
AXPJ220BBN3MU_m3r5,8/19/2014,17:16:24,lossave_moral,5,5,47,395,3,,,,
AY1CM9ZI774II_m3r5,8/19/2014,17:24:04,lossave_moral,0,5,24,446,1,,,,
