subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
A150GMV1YQWWB3_m3r5,8/19/2014,17:13:24,lossave_moral,0,5,47,375,2,,,,
A15K0L6NGQXOM0_m3r5,8/19/2014,17:07:11,lossave_moral,5,5,47,323,3,,,,
A162Z8CZSL0NG1_m3r5,8/19/2014,17:28:28,lossave_moral,5,5,47,488,3,,,,
A16GYJ4ZNAJ1FE_m3r5,8/19/2014,17:22:00,lossave_moral,1,5,24,430,1,,,,
A173MXK429XAZQ_m3r5,8/19/2014,17:09:21,lossave_moral,5,5,47,339,3,,,,
A17BQ2QRW1V9AO_m3r5,8/19/2014,17:26:10,lossave_moral,5,5,47,464,3,,,,
A17TJCEP04BEZ4_m3r5,8/19/2014,17:10:55,lossave_moral,0,100,24,349,0,,,,
A18DKL63PB77JH_m3r5,8/19/2014,17:24:33,lossave_moral,5,5,47,450,3,,,,
A18SXC3JEN100U_m3r5,8/19/2014,17:35:30,lossave_moral,5,5,47,519,3,,,,
A19BL9GZGXFWFT_m3r5,8/19/2014,17:52:38,lossave_moral,5,5,47,532,3,,,,
A19RAQ7NSO6SGB_m3r5,8/19/2014,17:34:49,lossave_moral,0,100,47,517,1,,,,
A1AQI9O8MNVL91_m3r5,8/19/2014,17:13:15,lossave_moral,5,5,47,372,3,,,,
A1BUZHBNG7S152_m3r5,8/19/2014,17:13:46,lossave_moral,10,100,4,376,0,,,,
A1CSDIX05PK9V_m3r5,8/19/2014,17:42:03,lossave_moral,0,5,47,525,2,,,,
A1CUIN1FSZCM50_m3r5,8/19/2014,17:17:24,lossave_moral,0,5,24,402,1,,,,
A1DJDT4B5B19Q2_m3r5,8/19/2014,17:12:09,lossave_moral,0,5,47,360,2,,,,
A1DK4S6CPLH396_m3r5,8/19/2014,17:06:47,lossave_moral,10,100,47,317,1,,,,
A1EPR9V3VID3RI_m3r5,8/19/2014,17:18:57,lossave_moral,10,100,24,412,0,,,,
A1F0VPCA2QEVKZ_m3r5,8/19/2014,17:18:21,lossave_moral,10,100,24,407,0,,,,
A1F8MOWCCVDIH2_m3r5,8/19/2014,17:09:57,lossave_moral,5,5,47,345,3,,,,
A1FB4RHFD0QZ3C_m3r5,8/19/2014,17:30:27,lossave_moral,10,100,24,501,0,,,,
A1FHY6RNR9QHT9_m3r5,8/19/2014,17:28:59,lossave_moral,10,100,24,490,0,,,,
A1FY9O940O9KU6_m3r5,8/19/2014,17:13:05,lossave_moral,5,5,12,371,2,,,,
A1FZJ3S9CN8Z7T_m3r5,8/19/2014,17:17:24,lossave_moral,5,5,47,403,3,,,,
A1G187YBG0DVMQ_m3r5,8/19/2014,17:11:24,lossave_moral,10,100,6,354,0,,,,
A1GDDULNGBI1P9_m3r5,8/19/2014,17:27:19,lossave_moral,10,100,47,473,1,,,,
A1GPG3WS6WMYRA_m3r5,8/19/2014,17:52:44,lossave_moral,10,1,47,533,1,,,,
A1H198MRIM37T1_m3r5,8/19/2014,17:18:51,lossave_moral,0,5,47,411,2,,,,
A1H3TNUIQS76TM_m3r5,8/19/2014,17:21:51,lossave_moral,0,100,24,429,0,,,,
A1IOJ2LGMGISYM_m3r5,8/19/2014,17:14:50,lossave_moral,10,100,24,384,0,,,,
