r,p,common,stroop,stay,subj
-1.364,-2.3193,1,-0.41548,1,5
-1.364,-3.3193,1,-0.41548,1,5
-1.364,-2.3193,1,-0.41548,0,5
-1.364,-2.3193,-1,-0.41548,0,5
-1.364,-1.3193,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,0,5
0.63596,0.68067,1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,1,5
-1.364,-3.3193,1,-0.41548,0,5
-1.364,-1.3193,-1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,0,5
-1.364,-1.3193,1,-0.41548,1,5
-1.364,-1.3193,1,-0.41548,0,5
-1.364,-2.3193,-1,-0.41548,0,5
-1.364,-2.3193,1,-0.41548,0,5
-1.364,-0.31933,1,-0.41548,0,5
-1.364,-1.3193,1,-0.41548,1,5
-1.364,-2.3193,1,-0.41548,0,5
-1.364,-4.3193,-1,-0.41548,0,5
-1.364,-2.3193,1,-0.41548,0,5
0.63596,0.68067,-1,-0.41548,0,5
0.63596,0.68067,1,-0.41548,0,5
1.636,0.68067,1,-0.41548,0,5
-1.364,-0.31933,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
-1.364,-0.31933,-1,-0.41548,1,5
-1.364,-1.3193,-1,-0.41548,0,5
-1.364,-2.3193,1,-0.41548,1,5
-1.364,-2.3193,1,-0.41548,0,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,1,5
-1.364,-1.3193,-1,-0.41548,1,5
-1.364,-0.31933,-1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
2.636,0.68067,1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
-0.36404,0.68067,-1,-0.41548,1,5
1.636,0.68067,-1,-0.41548,1,5
0.63596,0.68067,-1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
-1.364,-0.31933,-1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
1.636,0.68067,-1,-0.41548,1,5
1.636,0.68067,-1,-0.41548,1,5
-1.364,-1.3193,1,-0.41548,1,5
-1.364,-2.3193,1,-0.41548,1,5
-1.364,-0.31933,-1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
-0.36404,0.68067,-1,-0.41548,1,5
2.636,0.68067,1,-0.41548,1,5
2.636,0.68067,1,-0.41548,1,5
-1.364,-1.3193,-1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
2.636,0.68067,-1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,-3.3193,1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,1,5
2.636,0.68067,-1,-0.41548,1,5
2.636,0.68067,-1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,0,5
-1.364,-2.3193,1,-0.41548,0,5
-1.364,-1.3193,-1,-0.41548,0,5
2.636,0.68067,-1,-0.41548,0,5
3.636,0.68067,1,-0.41548,1,5
2.636,0.68067,1,-0.41548,1,5
3.636,0.68067,1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
2.636,0.68067,1,-0.41548,1,5
2.636,0.68067,1,-0.41548,1,5
-1.364,-1.3193,-1,-0.41548,1,5
-1.364,-3.3193,-1,-0.41548,0,5
-1.364,-2.3193,1,-0.41548,1,5
-1.364,-1.3193,1,-0.41548,0,5
-1.364,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-0.36404,0.68067,-1,-0.41548,1,5
-1.364,-1.3193,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
-1.364,0.68067,-1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,1,5
2.636,0.68067,-1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
-0.36404,0.68067,1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
1.636,0.68067,-1,-0.41548,1,5
1.636,0.68067,1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,-0.31933,1,-0.41548,1,5
0.63596,0.68067,-1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
-1.364,0.68067,1,-0.41548,1,5
0.63596,0.68067,1,-0.41548,1,5
-1.364,-2.3193,-1,-0.41548,1,5
