subject,datestamp,timestamp,version,moral1,moral2,moral3,id
test_adam1_m3r5,2014-09-25,19:45:52,la_moral_3p_fixed,5,2,2,731
A1J98D0GPAKZN4_m3r5,2014-09-26,10:12:05,la_moral_3p_fixed,5,5,5,732
A1VOSEDQTQDL57_m3r5,2014-09-26,10:14:11,la_moral_3p_fixed,1,2,2,733
A212P51360T72C_m3r5,2014-09-26,10:18:14,la_moral_3p_fixed,7,3,4,734
A2Y4J13GQQFCJ6_m3r5,2014-09-26,10:23:02,la_moral_3p_fixed,1,6,2,735
ANZKTE853UXSD_m3r5,2014-09-26,10:26:58,la_moral_3p_fixed,2,2,3,736
A2S7DYKYAKCY3I_m3r5,2014-09-26,10:48:15,la_moral_3p_fixed,2,2,4,737
A1A7U8TF7JAMGN_m3r5,2014-09-26,10:49:00,la_moral_3p_fixed,2,3,4,738
A1188J9Z5C2T1L_m3r5,2014-09-26,10:49:08,la_moral_3p_fixed,5,6,6,739
A1BECW50LAWZTZ_m3r5,2014-09-26,10:49:36,la_moral_3p_fixed,2,4,4,740
AK2742SDXZYWZ_m3r5,2014-09-26,10:50:03,la_moral_3p_fixed,3,3,6,741
A160N8CJGBJIWD_m3r5,2014-09-26,10:50:04,la_moral_3p_fixed,2,0,1,742
AR9P0OF5U64CF_m3r5,2014-09-26,10:50:21,la_moral_3p_fixed,3,3,3,743
A3I9FTHSULHPYS_m3r5,2014-09-26,10:50:22,la_moral_3p_fixed,5,2,4,744
A1LAPQ0V11VMJW_m3r5,2014-09-26,10:50:25,la_moral_3p_fixed,2,2,3,745
A3FCQN13WTL05Q_m3r5,2014-09-26,10:51:10,la_moral_3p_fixed,7,6,6,746
A4W9APAHFWVLO_m3r5,2014-09-26,10:51:12,la_moral_3p_fixed,3,2,3,747
AHNA4JDFX3X4H_m3r5,2014-09-26,10:51:13,la_moral_3p_fixed,2,3,4,748
A1IGGI0ZHMZEAN_m3r5,2014-09-26,10:51:16,la_moral_3p_fixed,2,4,4,749
ADKNG7ECJDEV_m3r5,2014-09-26,10:51:22,la_moral_3p_fixed,1,3,3,750
A2XTG4KXM702JO_m3r5,2014-09-26,10:51:50,la_moral_3p_fixed,3,3,4,751
AQ16SRW5YZYFJ_m3r5,2014-09-26,10:52:16,la_moral_3p_fixed,1,2,1,752
A2GKTUMQOKZXMG_m3r5,2014-09-26,10:52:58,la_moral_3p_fixed,3,2,4,753
AYALPYEQ512PP_m3r5,2014-09-26,10:54:44,la_moral_3p_fixed,1,4,4,754
AW3D81A9258WP_m3r5,2014-09-26,10:54:58,la_moral_3p_fixed,3,3,4,755
A3HDOKQOWGYPZK_m3r5,2014-09-26,10:57:26,la_moral_3p_fixed,3,3,4,756
AQ4WRGANHWRFR_m3r5,2014-09-26,10:57:53,la_moral_3p_fixed,3,4,4,757
A37GRP2S1HIS5T_m3r5,2014-09-26,10:59:08,la_moral_3p_fixed,3,4,3,758
A2KYGGHZDP8N8Y_m3r5,2014-09-26,11:00:32,la_moral_3p_fixed,2,3,5,759
AUJHICRFNP62C_m3r5,2014-09-26,11:01:40,la_moral_3p_fixed,5,5,5,760
AFRJ1ZIJOOM0Q_m3r5,2014-09-26,11:02:14,la_moral_3p_fixed,2,2,1,761
A2SNYBIYDPFIDW_m3r5,2014-09-26,11:04:50,la_moral_3p_fixed,4,3,5,762
AQVP5IH2S6WCB_m3r5,2014-09-26,11:14:18,la_moral_3p_fixed,7,7,2,763
A3ELESR7USZ9YV_m3r5,2014-09-26,11:20:34,la_moral_3p_fixed,1,2,4,764
A17NCK4AI08UIP_m3r5,2014-09-26,11:27:05,la_moral_3p_fixed,1,2,1,765
A2OY1QK1I4GW4C_m3r5,2014-09-26,11:32:54,la_moral_3p_fixed,1,3,5,766
A2QFEN6LSE0S9L_m3r5,2014-09-26,11:32:55,la_moral_3p_fixed,3,2,5,767
A2IXTD6OO51UXI_m3r5,2014-09-26,11:33:03,la_moral_3p_fixed,1,2,3,768
A359ETX78LN74M_m3r5,2014-09-26,11:34:02,la_moral_3p_fixed,3,7,3,769
A1ZHHL705SYZ1V_m3r5,2014-09-26,11:38:04,la_moral_3p_fixed,7,7,7,770
A8ZVWXIWNBFOV_m3r5,2014-09-26,11:45:44,la_moral_3p_fixed,1,2,3,771
A3PM52Y3NBMHCD_m3r5,2014-09-26,11:56:54,la_moral_3p_fixed,2,3,1,772
A2LEY4X3LD8G26_m3r5,2014-09-26,12:02:11,la_moral_3p_fixed,3,2,4,773
AU22FY21Z38OB_m3r5,2014-09-26,12:10:08,la_moral_3p_fixed,2,3,3,774
A3GM78FCDY293T_m3r5,2014-09-26,12:12:23,la_moral_3p_fixed,4,7,4,775
A2OXN3AJOY7BB2_m3r5,2014-09-26,12:14:30,la_moral_3p_fixed,3,3,5,776
AFWKRID53R1XA_m3r5,2014-09-26,12:14:30,la_moral_3p_fixed,3,3,6,777
A2NG6XFFMS8J10_m3r5,2014-09-26,12:14:37,la_moral_3p_fixed,2,3,3,778
A14KDXENR3YF9_m3r5,2014-09-26,12:14:40,la_moral_3p_fixed,1,2,3,779
AYHNP14AUA4TS_m3r5,2014-09-26,12:14:54,la_moral_3p_fixed,1,4,4,780
A240QXZJ8CLZ54_m3r5,2014-09-26,12:15:00,la_moral_3p_fixed,3,3,3,781
A2G366KN3TVHWX_m3r5,2014-09-26,12:15:22,la_moral_3p_fixed,3,5,6,782
A34EBEUDHABX3V_m3r5,2014-09-26,12:15:25,la_moral_3p_fixed,1,3,2,783
AZ4YYQ2ERPS65_m3r5,2014-09-26,12:16:09,la_moral_3p_fixed,2,0,1,784
A1R52VISUBSK0F_m3r5,2014-09-26,12:16:14,la_moral_3p_fixed,2,5,5,785
A35STI4M49LR60_m3r5,2014-09-26,12:16:31,la_moral_3p_fixed,2,3,3,786
A35RZ2HKE9VWJ5_m3r5,2014-09-26,12:16:51,la_moral_3p_fixed,2,0,2,787
ARNQHI6ZPM7ZP_m3r5,2014-09-26,12:16:55,la_moral_3p_fixed,1,3,3,788
A3MLE6TRPTYDJW_m3r5,2014-09-26,12:17:25,la_moral_3p_fixed,5,4,4,789
A1ZKF6YJLLQ430_m3r5,2014-09-26,12:17:27,la_moral_3p_fixed,3,2,5,790
ABED2Q9MQNN2D_m3r5,2014-09-26,12:17:37,la_moral_3p_fixed,3,2,3,791
A2WKK0IMRNXA0Z_m3r5,2014-09-26,12:17:39,la_moral_3p_fixed,7,0,1,792
