subject,datestamp,timestamp,version,crt1,crt2,crt3,id
test_adam1_m3r5,2014-09-25,19:52:18,la_moral_3p_fixed,5,5,47,979
A1J98D0GPAKZN4_m3r5,2014-09-26,10:20:26,la_moral_3p_fixed,5,5,47,980
A1VOSEDQTQDL57_m3r5,2014-09-26,10:25:14,la_moral_3p_fixed,0,5,47,981
A212P51360T72C_m3r5,2014-09-26,10:28:01,la_moral_3p_fixed,5,100,47,982
A2Y4J13GQQFCJ6_m3r5,2014-09-26,10:35:27,la_moral_3p_fixed,0,1,47,983
ANZKTE853UXSD_m3r5,2014-09-26,10:37:25,la_moral_3p_fixed,5,5,47,984
A2S7DYKYAKCY3I_m3r5,2014-09-26,10:57:18,la_moral_3p_fixed,0,5,47,985
A3I9FTHSULHPYS_m3r5,2014-09-26,10:58:34,la_moral_3p_fixed,10,2,12,986
A4W9APAHFWVLO_m3r5,2014-09-26,10:58:54,la_moral_3p_fixed,5,5,47,987
A1188J9Z5C2T1L_m3r5,2014-09-26,10:58:57,la_moral_3p_fixed,0,5,47,988
AQ16SRW5YZYFJ_m3r5,2014-09-26,11:00:43,la_moral_3p_fixed,0,1,47,989
A1IGGI0ZHMZEAN_m3r5,2014-09-26,11:00:44,la_moral_3p_fixed,10,100,47,990
AK2742SDXZYWZ_m3r5,2014-09-26,11:01:48,la_moral_3p_fixed,0,1,24,991
A1BECW50LAWZTZ_m3r5,2014-09-26,11:01:49,la_moral_3p_fixed,0,5,47,992
ADKNG7ECJDEV_m3r5,2014-09-26,11:01:58,la_moral_3p_fixed,10,20,30,993
AHNA4JDFX3X4H_m3r5,2014-09-26,11:02:12,la_moral_3p_fixed,105,5,12,994
A160N8CJGBJIWD_m3r5,2014-09-26,11:02:50,la_moral_3p_fixed,10,1,24,995
A1LAPQ0V11VMJW_m3r5,2014-09-26,11:03:17,la_moral_3p_fixed,10,5,47,996
AR9P0OF5U64CF_m3r5,2014-09-26,11:03:24,la_moral_3p_fixed,0,100,47,997
A3FCQN13WTL05Q_m3r5,2014-09-26,11:03:41,la_moral_3p_fixed,0,4,24,998
AW3D81A9258WP_m3r5,2014-09-26,11:04:18,la_moral_3p_fixed,10,5,47,999
AQ4WRGANHWRFR_m3r5,2014-09-26,11:04:28,la_moral_3p_fixed,5,5,47,1000
A2XTG4KXM702JO_m3r5,2014-09-26,11:04:51,la_moral_3p_fixed,5,5,47,1001
A2GKTUMQOKZXMG_m3r5,2014-09-26,11:05:26,la_moral_3p_fixed,0,5,47,1002
A37GRP2S1HIS5T_m3r5,2014-09-26,11:09:00,la_moral_3p_fixed,10,100,24,1003
AUJHICRFNP62C_m3r5,2014-09-26,11:11:06,la_moral_3p_fixed,10,100,47,1004
AFRJ1ZIJOOM0Q_m3r5,2014-09-26,11:11:36,la_moral_3p_fixed,10,100,47,1005
A2SNYBIYDPFIDW_m3r5,2014-09-26,11:11:51,la_moral_3p_fixed,5,5,47,1006
AYALPYEQ512PP_m3r5,2014-09-26,11:12:17,la_moral_3p_fixed,10,100,47,1007
A3HDOKQOWGYPZK_m3r5,2014-09-26,11:14:29,la_moral_3p_fixed,5,5,47,1008
A2KYGGHZDP8N8Y_m3r5,2014-09-26,11:16:49,la_moral_3p_fixed,10,100,24,1009
AQVP5IH2S6WCB_m3r5,2014-09-26,11:35:11,la_moral_3p_fixed,0,5,47,1010
A2IXTD6OO51UXI_m3r5,2014-09-26,11:43:00,la_moral_3p_fixed,5,5,47,1011
A2OY1QK1I4GW4C_m3r5,2014-09-26,11:43:23,la_moral_3p_fixed,10,100,12,1012
A359ETX78LN74M_m3r5,2014-09-26,11:43:40,la_moral_3p_fixed,5,5,47,1013
A2QFEN6LSE0S9L_m3r5,2014-09-26,11:43:52,la_moral_3p_fixed,5,5,47,1014
A17NCK4AI08UIP_m3r5,2014-09-26,11:45:24,la_moral_3p_fixed,5,5,47,1015
A1ZHHL705SYZ1V_m3r5,2014-09-26,11:47:58,la_moral_3p_fixed,0,5,12,1016
A8ZVWXIWNBFOV_m3r5,2014-09-26,11:57:43,la_moral_3p_fixed,10,5,47,1017
A2LEY4X3LD8G26_m3r5,2014-09-26,12:08:26,la_moral_3p_fixed,5,5,47,1018
A3PM52Y3NBMHCD_m3r5,2014-09-26,12:10:26,la_moral_3p_fixed,5,5,47,1019
AU22FY21Z38OB_m3r5,2014-09-26,12:20:49,la_moral_3p_fixed,5,5,47,1020
AFWKRID53R1XA_m3r5,2014-09-26,12:21:06,la_moral_3p_fixed,10,100,47,1021
A2NG6XFFMS8J10_m3r5,2014-09-26,12:22:47,la_moral_3p_fixed,0,5,47,1022
A240QXZJ8CLZ54_m3r5,2014-09-26,12:23:26,la_moral_3p_fixed,10,100,24,1023
A14KDXENR3YF9_m3r5,2014-09-26,12:23:31,la_moral_3p_fixed,5,5,47,1024
A3GM78FCDY293T_m3r5,2014-09-26,12:23:47,la_moral_3p_fixed,5,5,47,1025
AYHNP14AUA4TS_m3r5,2014-09-26,12:23:55,la_moral_3p_fixed,0,100,24,1026
A34EBEUDHABX3V_m3r5,2014-09-26,12:24:09,la_moral_3p_fixed,5,100,47,1027
A2OXN3AJOY7BB2_m3r5,2014-09-26,12:24:15,la_moral_3p_fixed,0,1,47,1028
AZ4YYQ2ERPS65_m3r5,2014-09-26,12:24:28,la_moral_3p_fixed,5,5,47,1029
A35STI4M49LR60_m3r5,2014-09-26,12:25:09,la_moral_3p_fixed,10,5,47,1030
A6LUA3WLPQ7OG_m3r5,2014-09-26,12:26:09,la_moral_3p_fixed,0,5,12,1031
